"geneName","teName","coef","pvalue","padj","pair","species","teAge","kznfAge","link","family_id"
"ZNF112","Charlie13b",0.776649219859399,3.84836608153970e-09,4.89179723936664e-08,"Charlie13b:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","Charlie19a",0.706435585603187,3.51459500693889e-07,2.23867417597092e-06,"Charlie19a:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","Charlie1",0.737826807862148,5.57008808555524e-08,4.64524979463174e-07,"Charlie1:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","Charlie1b",0.652665736138871,5.0188813419627e-06,2.23443554518594e-05,"Charlie1b:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","Charlie7a",0.706266088203708,3.54742622575333e-07,2.25734891516065e-06,"Charlie7a:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","ERVL-B4-int",0.737801561500224,5.57892293928465e-08,4.65104307204183e-07,"ERVL-B4-int:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","ERVL-E-int",0.70413801741822,3.9845032722253e-07,2.49497801600872e-06,"ERVL-E-int:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","HERV9-int",0.691372453220605,7.836293971749e-07,4.45808178742308e-06,"HERV9-int:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","HERVK9-int",0.728059099001376,1.01505079763269e-07,7.75735211935075e-07,"HERVK9-int:ZNF112","Hs","old","old","old","ERVK"
"ZNF112","HERVL40-int",0.771384107957729,5.69864407721757e-09,6.80370871146595e-08,"HERVL40-int:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","HERVL74-int",0.693919537588893,6.86588428817882e-07,3.97969789148713e-06,"HERVL74-int:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","HUERS-P3-int",0.68652312753758,1.00423355482662e-06,5.52509765236945e-06,"HUERS-P3-int:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","Kanga11a",0.638008599784984,9.48419473703649e-06,3.9121310665931e-05,"Kanga11a:ZNF112","Hs","old","old","old","TcMar-Tc2"
"ZNF112","LTR16A",0.701113999439135,4.6916962955469e-07,2.86912137537386e-06,"LTR16A:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR32",0.63674733483371,1.0002608492393e-05,4.09927341889406e-05,"LTR32:ZNF112","Hs","young","old","young","ERVL"
"ZNF112","LTR33B",0.690406247229486,8.23642709381504e-07,4.65703639133247e-06,"LTR33B:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR3A",0.734075318337814,7.0354877641109e-08,5.67396002453765e-07,"LTR3A:ZNF112","Hs","young","old","young","ERVK"
"ZNF112","LTR41B",0.712204460708955,2.55117373324549e-07,1.70133887692906e-06,"LTR41B:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR50",0.740622668290609,4.66823303271996e-08,4.00267738626702e-07,"LTR50:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR51",0.672363629306466,2.01833878733143e-06,1.01043418831261e-05,"LTR51:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","LTR53",0.724358226573388,1.2657829559752e-07,9.36740233229957e-07,"LTR53:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR5B",0.775065688386663,4.33543657662866e-09,5.41060664640658e-08,"LTR5B:ZNF112","Hs","young","old","young","ERVK"
"ZNF112","LTR75",0.747897048681686,2.91705148996614e-08,2.69201139531405e-07,"LTR75:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR84b",0.658840052766473,3.79926891423347e-06,1.75171720224344e-05,"LTR84b:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR87",0.748698975724514,2.76701805674916e-08,2.57688364018426e-07,"LTR87:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR89",0.667529541028336,2.5397601847985e-06,1.23332957618628e-05,"LTR89:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","LTR8",0.763264297495926,1.02349112422736e-08,1.11553739458099e-07,"LTR8:ZNF112","Hs","young","old","young","ERV1"
"ZNF112","LTR8A",0.702465369892904,4.3624368147009e-07,2.69644242829124e-06,"LTR8A:ZNF112","Hs","young","old","young","ERV1"
"ZNF112","MER102a",0.736401148671114,6.08988016343948e-08,5.01061572968608e-07,"MER102a:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","MER102b",0.752531553612743,2.14400722425875e-08,2.07595353583151e-07,"MER102b:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","MER115",0.669348668524312,2.33050935467655e-06,1.14533123946583e-05,"MER115:ZNF112","Hs","old","old","old","hAT-Tip100"
"ZNF112","MER1A",0.759809313310896,1.30397406602964e-08,1.36507187341586e-07,"MER1A:ZNF112","Hs","young","old","young","hAT-Charlie"
"ZNF112","MER1B",0.750799677644985,2.40731926684859e-08,2.29068858513963e-07,"MER1B:ZNF112","Hs","young","old","young","hAT-Charlie"
"ZNF112","MER20",0.752059665869896,2.21296250810999e-08,2.13113177745564e-07,"MER20:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","MER21A",0.704319431191741,3.94538709689652e-07,2.47362866833166e-06,"MER21A:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER21B",0.755144416338049,1.79700572532356e-08,1.79028285253923e-07,"MER21B:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER21C",0.739264464384953,5.08789183203689e-08,4.30555381228681e-07,"MER21C:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER2B",0.633544073638051,1.14380327350839e-05,4.60685120065872e-05,"MER2B:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","MER34-int",0.695116628091627,6.44927573799703e-07,3.77000635880739e-06,"MER34-int:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER39B",0.787616137392548,1.64050082545508e-09,2.4008101742562e-08,"MER39B:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER44A",0.709013601954926,3.04865522786568e-07,1.981511937211e-06,"MER44A:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","MER44B",0.779694829499846,3.05173967092964e-09,4.03247085082741e-08,"MER44B:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","MER49",0.761787899399769,1.13565713826697e-08,1.21776425125276e-07,"MER49:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER4B",0.671392499151329,2.11441153383998e-06,1.052470202896e-05,"MER4B:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER4E1",0.637806214672165,9.56568699170949e-06,3.94244481020553e-05,"MER4E1:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER52C",0.667449325850486,2.54937332962198e-06,1.23750987371984e-05,"MER52C:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER53",0.728813101161803,9.69986387317079e-08,7.45962837514454e-07,"MER53:ZNF112","Hs","old","old","old","hAT"
"ZNF112","MER54A",0.744320870464288,3.68284938628495e-08,3.27954886452964e-07,"MER54A:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER58A",0.750806114022401,2.40628731139932e-08,2.29014896766219e-07,"MER58A:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","MER5A1",0.773181458030038,4.98974508156108e-09,6.09218813985394e-08,"MER5A1:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","MER5B",0.743079941088535,3.98958939423084e-08,3.50956112445895e-07,"MER5B:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","MER5C1",0.608118061961129,3.14969656738217e-05,0.000112715500776445,"MER5C1:ZNF112","Hs","old","old","old","hAT-Charlie"
"ZNF112","MER61E",0.759537621588035,1.32882055744558e-08,1.3853127896524e-07,"MER61E:ZNF112","Hs","young","old","young","ERV1"
"ZNF112","MER67C",0.654656940888322,4.59106572762439e-06,2.06787492497737e-05,"MER67C:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER68-int",0.705823039208171,3.63458853387157e-07,2.30517106108032e-06,"MER68-int:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER68",0.722047963173251,1.45022479609519e-07,1.05164601216274e-06,"MER68:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER70C",0.606973414581384,3.28991827419571e-05,0.000117096973156429,"MER70C:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER72",0.685111402802436,1.07847855322338e-06,5.87908445609504e-06,"MER72:ZNF112","Hs","young","old","young","ERV1"
"ZNF112","MER74A",0.657361596427804,4.06351466784457e-06,1.85813294865285e-05,"MER74A:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER74B",0.761953418429034,1.12253545110981e-08,1.20649499670406e-07,"MER74B:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER77",0.760178460565026,1.27090769586971e-08,1.33727611356304e-07,"MER77:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MER81",0.702586001332149,4.33410902372263e-07,2.68095108676636e-06,"MER81:ZNF112","Hs","old","old","old","hAT-Blackjack"
"ZNF112","MER83",0.752115266405239,2.20473191808934e-08,2.12499189037657e-07,"MER83:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER89",0.715985205435217,2.05932839268387e-07,1.41858979164164e-06,"MER89:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER90a",0.734158104776288,6.99961348907542e-08,5.64749358891747e-07,"MER90a:ZNF112","Hs","old","old","old","ERV1"
"ZNF112","MER91A",0.732183646025178,7.90321637067827e-08,6.26548064940425e-07,"MER91A:ZNF112","Hs","old","old","old","hAT-Tip100"
"ZNF112","MIR3",0.755710589911595,1.72905793136349e-08,1.73263351390512e-07,"MIR3:ZNF112","Hs","old","old","old","MIR"
"ZNF112","MIR",0.757300273503534,1.5508385739859e-08,1.57986067715912e-07,"MIR:ZNF112","Hs","old","old","old","MIR"
"ZNF112","MIRb",0.763144576992223,1.03218706763343e-08,1.12377228479472e-07,"MIRb:ZNF112","Hs","old","old","old","MIR"
"ZNF112","MIRc",0.752417458355971,2.16049389758559e-08,2.09027360299595e-07,"MIRc:ZNF112","Hs","old","old","old","MIR"
"ZNF112","MLT1A0",0.719617022238975,1.67097362747585e-07,1.18566204461469e-06,"MLT1A0:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1A1-int",0.607753366540047,3.1937698362421e-05,0.000114080558437737,"MLT1A1-int:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1B",0.74243312631641,4.15872656142067e-08,3.63412163510417e-07,"MLT1B:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1C",0.719612649997544,1.67139730064782e-07,1.18590573235355e-06,"MLT1C:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1D",0.768524882239596,7.0224457144156e-09,8.110441377074e-08,"MLT1D:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1E1A",0.725050504461088,1.21490480846769e-07,9.05124661184728e-07,"MLT1E1A:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1E3",0.698795081020965,5.31073308728094e-07,3.19272614966924e-06,"MLT1E3:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1F1",0.75545431031699,1.75951292647562e-08,1.75790720589782e-07,"MLT1F1:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1F2",0.749681388384621,2.59299852530827e-08,2.43817417640881e-07,"MLT1F2:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1F",0.723644812765403,1.32027585759803e-07,9.70603712563177e-07,"MLT1F:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1G1",0.699790337213621,5.036342986402e-07,3.04885464107225e-06,"MLT1G1:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1G3",0.662960108512353,3.14394283377876e-06,1.48538786240755e-05,"MLT1G3:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1G",0.826615948823728,5.00561587217926e-11,1.41508224527302e-09,"MLT1G:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1H1",0.737915347812092,5.53920649518795e-08,4.62393122821973e-07,"MLT1H1:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1H",0.756817300112149,1.60308888426645e-08,1.62335403665748e-07,"MLT1H:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1I",0.739192414625105,5.11110375922698e-08,4.32173225067196e-07,"MLT1I:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1J1",0.731650366167709,8.16520326858241e-08,6.44501130310249e-07,"MLT1J1:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1L",0.771560034675661,5.62532214455888e-09,6.73302952992452e-08,"MLT1L:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT1N2",0.623338031992997,1.7361836661088e-05,6.65644413428492e-05,"MLT1N2:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MLT2A2",0.696608856955679,5.96266328247848e-07,3.52585348417183e-06,"MLT2A2:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MLT2B3",0.764469410972072,9.39676773837167e-09,1.03749834744707e-07,"MLT2B3:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MLT2D",0.724190841005547,1.27837782595311e-07,9.44405932154055e-07,"MLT2D:ZNF112","Hs","old","old","old","ERVL"
"ZNF112","MSTA-int",0.766506821093029,8.12357275775409e-09,9.19313503623481e-08,"MSTA-int:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MSTA",0.72008957751275,1.62576484446926e-07,1.15853382443748e-06,"MSTA:ZNF112","Hs","young","old","young","ERVL-MaLR"
"ZNF112","MSTB1",0.690499008851312,8.1972090512149e-07,4.63699051450341e-06,"MSTB1:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MSTB2",0.648962012406248,5.91337419598307e-06,2.57776999556194e-05,"MSTB2:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MSTD",0.715623539949729,2.10226433848272e-07,1.44379255532553e-06,"MSTD:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","MamGyp-int",0.715233919786095,2.1494457143421e-07,1.4703880090312e-06,"MamGyp-int:ZNF112","Hs","old","old","old","Gypsy"
"ZNF112","MamRep38",0.699263053591404,5.180037565402e-07,3.12368375689987e-06,"MamRep38:ZNF112","Hs","old","old","old","hAT"
"ZNF112","MamRep488",0.697651093474731,5.64316442916308e-07,3.36275899850076e-06,"MamRep488:ZNF112","Hs","old","old","old","hAT"
"ZNF112","ORSL-2b",0.707906640184556,3.24123540702747e-07,2.08758612010992e-06,"ORSL-2b:ZNF112","Hs","old","old","old","hAT-Tip100"
"ZNF112","THE1A-int",0.717519064461127,1.88610488232247e-07,1.31495292741568e-06,"THE1A-int:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","THE1A",0.702131012344839,4.44185111850779e-07,2.73819973330494e-06,"THE1A:ZNF112","Hs","young","old","young","ERVL-MaLR"
"ZNF112","THE1B",0.725551935556633,1.17924419344536e-07,8.82181114524003e-07,"THE1B:ZNF112","Hs","young","old","young","ERVL-MaLR"
"ZNF112","THE1C-int",0.705876581194998,3.62395082173905e-07,2.29915808468664e-06,"THE1C-int:ZNF112","Hs","old","old","old","ERVL-MaLR"
"ZNF112","THE1C",0.732871231154313,7.5769326467287e-08,6.04596026629558e-07,"THE1C:ZNF112","Hs","young","old","young","ERVL-MaLR"
"ZNF112","THE1D-int",0.710139496021737,2.86368901551911e-07,1.87914095834768e-06,"THE1D-int:ZNF112","Hs","young","old","young","ERVL-MaLR"
"ZNF112","THE1D",0.721644945589458,1.48484497525912e-07,1.07285584511572e-06,"THE1D:ZNF112","Hs","young","old","young","ERVL-MaLR"
"ZNF112","Tigger10",0.71847502813191,1.78507988154061e-07,1.2544022493928e-06,"Tigger10:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","Tigger3d",0.77382490738567,4.75660547638671e-09,5.84909315569161e-08,"Tigger3d:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","Tigger4b",0.74110303120376,4.52767548967901e-08,3.90026111206568e-07,"Tigger4b:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","Tigger5",0.780655014785489,2.83440544758146e-09,3.79413959899739e-08,"Tigger5:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","Tigger7",0.688527396139874,9.06902660916646e-07,5.05756843899237e-06,"Tigger7:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","Tigger9a",0.790010795794125,1.35281051770606e-09,2.04729295990546e-08,"Tigger9a:ZNF112","Hs","old","old","old","TcMar-Tigger"
"ZNF112","Zaphod3",0.711785541193338,2.61189751126683e-07,1.73635027292947e-06,"Zaphod3:ZNF112","Hs","old","old","old","hAT-Tip100"
"ZNF184","HERVIP10F-int",0.747551174734484,2.98406702301306e-08,2.74340747490803e-07,"HERVIP10F-int:ZNF184","Hs","old","old","old","ERV1"
"ZNF184","LTR82B",0.702959243487537,4.24753454547232e-07,2.63644688651498e-06,"LTR82B:ZNF184","Hs","old","old","old","ERVL"
"ZNF436","PABL_B",0.759541614209691,1.32845225921042e-08,1.385104773545e-07,"PABL_B:ZNF436","Hs","old","old","old","ERV1"
"ZNF331","HERVIP10F-int",0.674646982026215,1.80806980733975e-06,9.18736427063806e-06,"HERVIP10F-int:ZNF331","Hs","old","old","old","ERV1"
"KRBOX4","HERVIP10F-int",0.709707079892761,2.93346339049753e-07,1.91760459020117e-06,"HERVIP10F-int:KRBOX4","Hs","old","old","old","ERV1"
"KRBOX4","LTR22C",0.768065552920629,7.2600920459708e-09,8.34384544896573e-08,"LTR22C:KRBOX4","Hs","young","old","young","ERVK"
"KRBOX4","LTR82B",0.670497208153071,2.20669399613484e-06,1.09262735488207e-05,"LTR82B:KRBOX4","Hs","old","old","old","ERVL"
"ZNF606","MER66C",0.651679485339886,5.24406377952568e-06,2.32167991581044e-05,"MER66C:ZNF606","Hs","young","old","young","ERV1"
"ZNF226","LTR88a",0.731719673402998,8.13070457994362e-08,6.42264822764707e-07,"LTR88a:ZNF226","Hs","old","old","old","Gypsy"
"ZNF226","MER41B",0.753860720173943,1.96037261187065e-08,1.92718684429575e-07,"MER41B:ZNF226","Hs","old","old","old","ERV1"
"ZNF226","MER66B",0.730858494511723,8.56913039502393e-08,6.71513587875165e-07,"MER66B:ZNF226","Hs","young","old","young","ERV1"
"ZNF226","MER83",0.794984989180612,8.99078634727938e-10,1.45477695226205e-08,"MER83:ZNF226","Hs","old","old","old","ERV1"
"ZNF528","AmnSINE1",0.672055600455773,2.04836732014601e-06,1.02342195355458e-05,"AmnSINE1:ZNF528","Hs","old","young","young","Deu"
"ZNF528","Charlie16a",0.756710010098789,1.61491623808432e-08,1.63334896366625e-07,"Charlie16a:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie19a",0.823312872312756,6.94800035364837e-11,1.84094605999903e-09,"Charlie19a:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie20a",0.624900746133627,1.63027531423906e-05,6.29705160072097e-05,"Charlie20a:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie21a",0.71335719658293,2.39076103341961e-07,1.60961428085938e-06,"Charlie21a:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie22a",0.757866708385941,1.49157964615252e-08,1.52834174849633e-07,"Charlie22a:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie4",0.663629118509457,3.04792157498187e-06,1.44565972135573e-05,"Charlie4:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie4a",0.743454040694386,3.89470567345064e-08,3.43816763234761e-07,"Charlie4a:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie4z",0.773557492072764,4.85223614532956e-09,5.94788289872258e-08,"Charlie4z:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie7a",0.719900142653244,1.64374996548394e-07,1.16943307089968e-06,"Charlie7a:ZNF528","Hs","old","young","young","hAT-Charlie"
"ZNF528","Charlie8",0.741275401632466,4.47820462014244e-08,3.86462835357907e-07,"Charlie8:ZNF528","Hs","old","young","young","hAT-Charlie"
